Timestamp,Prize,Income (元),Payout (元),Net Income (元)
2024-12-25 01:14:36,再来一次,5,0,5
2024-12-25 01:14:37,再来一次,5,0,5
2024-12-25 01:14:39,未中奖,10,0,10
2024-12-25 01:14:43,三等奖 (10元),15,10,5
2024-12-25 01:14:58,未中奖,5,0,5
2024-12-25 01:16:23,未中奖,10,0,10
2024-12-25 01:16:36,四等奖 (2元),15,2,13
2024-12-25 01:16:41,四等奖 (2元),20,2,16
2024-12-25 01:16:52,未中奖,25,0,21
2024-12-25 01:16:54,未中奖,30,0,26
2024-12-25 01:16:56,四等奖 (2元),35,2,29
2024-12-25 01:16:58,四等奖 (2元),40,2,32
2024-12-25 01:17:01,未中奖,45,0,37
2024-12-25 01:17:40,四等奖 (2元),50,2,40
2024-12-25 01:17:42,四等奖 (2元),55,2,43
2024-12-25 01:17:55,未中奖,60,0,48
2024-12-25 07:44:35,四等奖 (2元),5,2,3
2024-12-25 07:44:40,四等奖 (2元),10,2,6
2024-12-25 07:44:43,再来一次,15,0,11
2024-12-25 07:44:44,四等奖 (2元),15,2,9
2024-12-25 07:44:46,四等奖 (2元),20,2,12
2024-12-25 07:44:47,未中奖,25,0,17
2024-12-25 07:44:49,未中奖,30,0,22
2024-12-25 07:44:50,未中奖,35,0,27
2024-12-25 07:44:51,再来一次,40,0,32
2024-12-25 07:44:51,再来一次,45,0,37
2024-12-25 07:44:52,三等奖 (10元),50,10,32
2024-12-25 07:44:53,四等奖 (2元),55,2,35
2024-12-25 07:44:54,未中奖,60,0,40
2024-12-25 07:44:55,四等奖 (2元),65,2,43
2024-12-25 07:44:56,未中奖,70,0,48
2024-12-25 07:44:57,二等奖 (20元),75,20,33
2024-12-25 07:48:55,四等奖 (2元),5,0,5
2024-12-25 07:48:59,三等奖 (10元),10,10,0
2024-12-25 07:49:03,未中奖,15,0,5
2024-12-25 07:49:06,未中奖,20,0,10
2024-12-25 07:50:17,四等奖 (2元),25,0,15
2024-12-25 07:50:18,未中奖,30,0,20
2024-12-25 07:50:18,未中奖,35,0,25
2024-12-25 07:50:21,四等奖 (2元),40,0,30
2024-12-25 07:50:26,再来一次,45,0,35
2024-12-25 07:50:27,未中奖,45,0,35
2024-12-25 07:52:29,未中奖,5,0,0,5
2024-12-25 07:52:31,再来一次,10,0,0,10
2024-12-25 07:52:32,未中奖,10,0,0,10
2024-12-25 07:52:35,未中奖,15,0,0,15
2024-12-25 07:52:38,未中奖,20,0,0,20
2024-12-25 07:52:41,未中奖,25,0,0,25
2024-12-25 07:52:44,未中奖,30,0,0,30
2024-12-25 07:52:49,四等奖 (2元),35,0,2,33
2024-12-25 07:52:54,未中奖,40,0,2,38
2024-12-25 07:52:56,四等奖 (2元),45,0,4,41
2024-12-25 07:53:03,未中奖,50,0,4,46
2024-12-25 07:53:05,未中奖,55,0,4,51
2024-12-25 07:53:08,三等奖 (10元),60,10,4,46
2024-12-25 07:53:11,二等奖 (20元),65,30,4,31
2024-12-25 07:53:15,未中奖,70,30,4,36
2024-12-25 07:53:17,再来一次,75,30,4,41
2024-12-25 07:53:18,未中奖,75,30,4,41
2024-12-25 07:53:20,四等奖 (2元),80,30,6,44
2024-12-25 07:53:23,再来一次,85,30,6,49
2024-12-25 07:53:24,未中奖,85,30,6,49
2024-12-25 07:53:27,未中奖,90,30,6,54
2024-12-25 07:53:29,三等奖 (10元),95,40,6,49
2024-12-25 07:53:45,未中奖,100,40,6,54
2024-12-25 07:53:47,四等奖 (2元),105,40,8,57
2024-12-25 07:53:48,未中奖,110,40,8,62
2024-12-25 07:53:51,四等奖 (2元),115,40,10,65
2024-12-25 07:53:53,四等奖 (2元),120,40,12,68
2024-12-25 07:53:56,再来一次,125,40,12,73
2024-12-25 07:53:57,未中奖,125,40,12,73
2024-12-25 07:54:01,二等奖 (20元),130,60,12,58
2024-12-25 07:54:03,未中奖,135,60,12,63
2024-12-25 07:54:09,四等奖 (2元),140,60,14,66
2024-12-25 07:54:11,未中奖,145,60,14,71
2024-12-25 07:54:12,再来一次,150,60,14,76
2024-12-25 07:54:13,未中奖,150,60,14,76
2024-12-25 07:54:15,未中奖,155,60,14,81
2024-12-25 07:54:18,未中奖,160,60,14,86
2024-12-25 07:54:21,三等奖 (10元),165,70,14,81
2024-12-25 07:54:25,二等奖 (20元),170,90,14,66
2024-12-25 07:54:28,四等奖 (2元),175,90,16,69
2024-12-25 07:58:01,未中奖,180,90,16,74
2024-12-25 07:58:03,未中奖,185,90,16,79
2024-12-25 07:58:06,未中奖,190,90,16,84
2024-12-25 07:58:08,二等奖 (20元),195,110,16,69
2024-12-25 07:58:14,二等奖 (20元),200,130,16,54
2024-12-25 07:59:33,再来一次,205,130,16,59
2024-12-25 07:59:34,未中奖,205,130,16,59
2024-12-25 07:59:36,未中奖,210,130,16,64
2024-12-25 07:59:38,未中奖,215,130,16,69
2024-12-25 07:59:42,三等奖 (10元),220,140,16,64
2024-12-25 07:59:43,未中奖,225,140,16,69
2024-12-25 07:59:44,再来一次,230,140,16,74
2024-12-25 07:59:45,三等奖 (10元),230,150,16,64
2024-12-25 07:59:57,未中奖,235,150,16,69
2024-12-25 08:00:00,未中奖,240,150,16,74
2024-12-25 08:00:02,未中奖,245,150,16,79
2024-12-25 08:00:04,四等奖 (2元),250,150,18,82
2024-12-25 08:00:05,未中奖,255,150,18,87
2024-12-25 08:00:08,未中奖,260,150,18,92
2024-12-25 08:00:15,二等奖 (20元),265,170,18,77
2024-12-25 08:01:29,再来一次,270,170,18,82
2024-12-25 08:01:30,未中奖,270,170,18,82
2024-12-25 08:01:32,再来一次,275,170,18,87
2024-12-25 08:01:33,四等奖 (2元),275,170,20,85
2024-12-25 08:04:30,未中奖,5,0,0,5
2024-12-25 08:06:03,三等奖 (10元),5,10,0,-5
2024-12-25 08:08:07,未中奖,5,0,0,5
2024-12-25 08:08:10,未中奖,10,0,0,10
2024-12-25 08:08:12,未中奖,15,0,0,15
2024-12-25 08:08:14,四等奖 (2元),20,2,2,18
2024-12-25 08:08:18,四等奖 (2元),25,2,2,21
2024-12-25 08:08:20,未中奖,30,0,0,26
2024-12-25 08:08:22,四等奖 (2元),35,2,2,29
2024-12-25 08:08:24,四等奖 (2元),40,2,2,32
2024-12-25 08:08:28,再来一次,45,0,0,37
2024-12-25 08:09:13,未中奖,5,0,0,5
2024-12-25 08:09:16,未中奖,10,0,0,10
2024-12-25 08:09:18,二等奖 (20元),15,20,0,-5
2024-12-25 08:09:21,未中奖,20,0,0,0
2024-12-25 08:09:23,四等奖 (2元),25,2,2,3
2024-12-25 08:09:24,未中奖,30,0,0,8
2024-12-25 08:09:25,再来一次,35,0,0,13
2024-12-25 08:11:21,未中奖,5,0,0,5
2024-12-25 08:11:24,未中奖,10,0,0,10
2024-12-25 08:11:26,三等奖 (10元),15,10,0,5
2024-12-25 08:11:28,未中奖,20,0,0,10
2024-12-25 08:11:30,未中奖,25,0,0,15
2024-12-25 08:11:31,未中奖,30,0,0,20
2024-12-25 08:11:32,未中奖,35,0,0,25
2024-12-25 08:11:33,三等奖 (10元),40,10,0,20
2024-12-25 08:11:36,未中奖,45,0,0,25
2024-12-25 08:11:38,再来一次,50,0,0,30
2024-12-25 08:11:49,四等奖 (2元),50,2,2,28
2024-12-25 08:11:52,未中奖,50,0,0,28
2024-12-25 08:11:54,四等奖 (2元),50,2,2,26
2024-12-25 08:11:56,二等奖 (20元),50,20,0,6
2024-12-25 08:11:59,未中奖,50,0,0,6
