Timestamp,Prize,Income (元),Payout (元),Net Income (元)
2024-12-25 11:22:51,四等奖 (可乐2元),20,0,20
2024-12-25 11:22:54,未中奖,40,0,40
2024-12-25 11:22:54,未中奖,60,0,60
2024-12-25 11:22:55,未中奖,80,0,80
2024-12-25 11:22:55,再来一次,100,0,100
2024-12-25 11:22:55,未中奖,100,0,100
2024-12-25 11:22:55,四等奖 (可乐2元),120,0,120
2024-12-25 11:22:56,二等奖 (100元),140,100,40
2024-12-25 11:22:56,未中奖,160,0,60
2024-12-25 11:22:56,二等奖 (100元),180,100,-20
2024-12-25 11:22:57,未中奖,200,0,0
2024-12-25 11:22:57,未中奖,220,0,20
2024-12-25 11:22:57,未中奖,240,0,40
2024-12-25 11:22:57,未中奖,260,0,60
2024-12-25 11:22:58,再来一次,280,0,80
2024-12-25 11:22:58,未中奖,280,0,80
2024-12-25 11:22:58,未中奖,300,0,100
2024-12-25 11:22:58,四等奖 (可乐2元),320,0,120
2024-12-25 11:22:58,四等奖 (可乐2元),340,0,140
2024-12-25 11:22:59,三等奖 (50元),360,50,110
2024-12-25 11:22:59,再来一次,380,0,130
2024-12-25 11:22:59,未中奖,380,0,130
2024-12-25 11:23:00,四等奖 (可乐2元),400,0,150
2024-12-25 11:25:24,🎉 再来一次,20,0,20
2024-12-25 11:25:25,🔔 未中奖,20,0,20
2024-12-25 11:25:25,🎉 再来一次,40,0,40
2024-12-25 11:25:25,🔔 未中奖,40,0,40
2024-12-25 11:25:26,🎅 二等奖 (100元),60,100,-40
2024-12-25 11:25:26,🔔 未中奖,80,0,-20
2024-12-25 11:25:26,🔔 未中奖,100,0,0
2024-12-25 11:25:26,🔔 未中奖,120,0,20
2024-12-25 11:25:27,❄️ 三等奖 (50元),140,50,-10
2024-12-25 11:25:27,🔔 未中奖,160,0,10
2024-12-25 11:25:27,🔔 未中奖,180,0,30
2024-12-25 11:25:27,🔔 未中奖,200,0,50
2024-12-25 11:25:28,🔔 未中奖,220,0,70
2024-12-25 11:25:28,🔔 未中奖,240,0,90
2024-12-25 11:25:28,🔔 未中奖,260,0,110
2024-12-25 11:25:29,🔔 未中奖,280,0,130
2024-12-25 11:25:29,🔔 未中奖,300,0,150
2024-12-25 11:25:29,🔔 未中奖,320,0,170
2024-12-25 11:25:29,☃️ 四等奖 (可乐2元),340,0,190
2024-12-25 11:25:30,🔔 未中奖,360,0,210
2024-12-25 11:25:30,🔔 未中奖,380,0,230
2024-12-25 11:25:30,🔔 未中奖,400,0,250
2024-12-25 11:42:15,🔔 未中奖,20,0,20
2024-12-25 11:42:16,🔔 未中奖,40,0,40
2024-12-25 11:42:16,🎉 再来一次,60,0,60
2024-12-25 11:42:16,🎉 再来一次,60,0,60
2024-12-25 11:42:17,🎉 再来一次,80,0,80
2024-12-25 11:42:17,❄️ 三等奖 (50元),80,50,30
2024-12-25 11:42:17,❄️ 三等奖 (50元),100,50,0
2024-12-25 11:42:17,🔔 未中奖,120,0,20
2024-12-25 11:42:18,🔔 未中奖,140,0,40
2024-12-25 11:42:18,❄️ 三等奖 (50元),160,50,10
2024-12-25 11:42:18,🔔 未中奖,180,0,30
2024-12-25 11:42:18,❄️ 三等奖 (50元),200,50,0
2024-12-25 11:42:18,🔔 未中奖,220,0,20
2024-12-25 11:42:19,❄️ 三等奖 (50元),240,50,-10
2024-12-25 11:42:19,🔔 未中奖,260,0,10
2024-12-25 11:42:19,🎉 再来一次,280,0,30
2024-12-25 11:42:19,🔔 未中奖,280,0,30
2024-12-25 11:42:19,🎉 再来一次,300,0,50
2024-12-25 11:42:20,☃️ 四等奖 (可乐2元),300,0,50
2024-12-25 11:42:20,🎄 一等奖 (200元),320,0,70
2024-12-25 11:42:20,🎉 再来一次,340,0,90
2024-12-25 11:42:20,🎅 二等奖 (100元),340,100,-10
2024-12-25 11:42:21,🔔 未中奖,360,0,10
2024-12-25 11:42:21,☃️ 四等奖 (可乐2元),380,0,30
2024-12-25 11:42:21,🎉 再来一次,400,0,50
2024-12-25 11:42:33,❄️ 三等奖 (50元),420,50,20
2024-12-25 11:42:33,🔔 未中奖,440,0,40
2024-12-25 11:42:33,❄️ 三等奖 (50元),460,50,10
2024-12-25 11:42:34,🔔 未中奖,480,0,30
2024-12-25 11:42:34,🔔 未中奖,500,0,50
2024-12-25 11:42:34,☃️ 四等奖 (可乐2元),520,0,70
2024-12-25 11:42:34,🎉 再来一次,540,0,90
2024-12-25 11:42:34,☃️ 四等奖 (可乐2元),540,0,90
2024-12-25 11:42:35,🔔 未中奖,560,0,110
2024-12-25 11:42:35,🎅 二等奖 (100元),580,100,30
2024-12-25 11:42:35,🎅 二等奖 (100元),600,100,-50
2024-12-25 11:44:17,❄️ 三等奖 (30元),20,0,20
2024-12-25 11:44:18,☃️ 四等奖 (可乐2元),40,0,40
2024-12-25 11:44:18,🔔 未中奖,60,0,60
2024-12-25 11:44:18,🔔 未中奖,80,0,80
2024-12-25 11:44:19,☃️ 四等奖 (可乐2元),100,0,100
2024-12-25 11:44:19,🔔 未中奖,120,0,120
2024-12-25 11:44:19,☃️ 四等奖 (可乐2元),140,0,140
2024-12-25 11:44:19,☃️ 四等奖 (可乐2元),160,0,160
2024-12-25 11:44:19,☃️ 四等奖 (可乐2元),180,0,180
2024-12-25 11:44:20,🔔 未中奖,200,0,200
2024-12-25 11:46:08,🔔 未中奖,20,0,20
2024-12-25 11:46:08,🎉 再来一次,40,0,40
2024-12-25 11:46:08,🔔 未中奖,40,0,40
2024-12-25 11:46:09,☃️ 四等奖 (可乐2元),60,0,60
2024-12-25 11:46:09,🔔 未中奖,80,0,80
2024-12-25 11:46:09,☃️ 四等奖 (可乐2元),100,0,100
2024-12-25 11:46:09,🔔 未中奖,120,0,120
2024-12-25 11:46:09,☃️ 四等奖 (可乐2元),140,0,140
2024-12-25 11:46:10,☃️ 四等奖 (可乐2元),160,0,160
2024-12-25 11:46:10,🎅 二等奖 (50元),180,50,130
2024-12-25 11:46:10,🔔 未中奖,200,0,150
